"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SSTRAP","SSTRAP Tm"
32 - Matheus Roque - CHA S
"13:09:56.949","1","1:47.717","139,766","168,4","20.972","68,5","53.202","232,9","33.543","249,4","0.433"
"13:18:33.590","2","6:25.214","39,083","","","70,0","52.017","234,3","33.337","",""
"13:20:16.994","3","1:43.404","145,596","172,0","20.527","72,1","50.499","241,3","32.378","251,2","0.430"
"13:21:59.771","4","1:42.777","146,484","174,6","20.222","72,4","50.344","242,5","32.211","252,3","0.428"
"13:32:46.117","5","8:49.154","28,451","","","66,9","54.461","226,2","34.542","",""
"13:34:33.020","6","1:46.903","140,830","167,3","21.113","69,2","52.621","235,5","33.169","251,7","0.429"
"13:36:19.189","7","1:46.169","141,804","169,7","20.816","70,3","51.790","232,8","33.563","251,7","0.429"
"13:38:04.550","8","1:45.361","142,892","171,4","20.608","71,2","51.182","232,7","33.571","254,1","0.425"
"13:39:49.773","9","1:45.223","143,079","171,1","20.641","70,4","51.715","237,7","32.867","254,7","0.424"
"13:53:19.161","10","11:29.132","21,847","","","66,5","54.769","","","",""
"14:01:33.733","11","8:14.572","30,441","","","65,3","55.800","223,4","34.962","",""
"14:03:26.276","12","1:52.543","133,773","165,8","21.298","68,7","52.997","204,2","38.248","253,5","0.426"
"14:05:12.856","13","1:46.580","141,257","170,5","20.717","69,7","52.265","232,5","33.598","252,9","0.427"
177 - Lucas Locatelli - CHA S
"13:17:43.283","1","7:08.828","35,108","","","69,0","52.776","226,0","34.573","",""
"13:19:27.915","2","1:44.632","143,887","166,8","21.175","71,4","51.019","240,8","32.438","253,5","0.426"
"13:21:11.210","3","1:43.295","145,750","171,7","20.563","72,1","50.561","242,8","32.171","254,1","0.425"
"13:32:52.408","4","9:42.776","25,834","","","68,9","52.844","229,9","33.987","",""
"13:34:37.391","5","1:44.983","143,406","169,4","20.843","71,1","51.257","237,6","32.883","253,5","0.426"
"13:36:27.009","6","1:49.618","137,342","166,3","21.234","65,9","55.246","235,7","33.138","252,9","0.427"
"13:38:11.329","7","1:44.320","144,317","170,9","20.663","71,8","50.755","237,4","32.902","255,3","0.423"
"13:39:56.697","8","1:45.368","142,882","168,5","20.965","71,8","50.714","231,9","33.689","254,7","0.424"
"13:53:36.145","9","11:34.796","21,669","","","67,7","53.796","","","",""
"14:01:06.057","10","7:29.912","33,463","","","67,4","54.044","230,9","33.840","",""
"14:02:50.631","11","1:44.574","143,967","171,2","20.624","71,4","51.004","237,1","32.946","252,3","0.428"
"14:04:34.552","12","1:43.921","144,872","173,8","20.321","71,7","50.797","238,1","32.803","254,7","0.424"
"14:06:35.273","13","2:00.721","124,711","158,7","22.250","68,7","53.033","","","255,9","0.422"
58 - Cláudio Simão - CHA R
"13:16:12.465","1","5:33.165","45,188","","","66,6","54.667","238,4","32.762","",""
"13:17:56.540","2","1:44.075","144,657","172,6","20.462","71,3","51.065","240,0","32.548","250,6","0.431"
"13:19:40.007","3","1:43.467","145,507","174,3","20.260","71,7","50.806","241,1","32.401","252,9","0.427"
"13:21:37.001","4","1:56.994","128,684","171,1","20.639","69,1","52.715","","","251,7","0.429"
"13:31:58.977","5","10:21.976","24,205","","","68,6","53.089","231,7","33.711","",""
"13:33:46.058","6","1:47.081","140,596","169,7","20.809","69,7","52.306","230,0","33.966","253,5","0.426"
"13:35:33.198","7","1:47.140","140,519","170,3","20.737","69,5","52.421","229,9","33.982","252,3","0.428"
"13:37:21.477","8","1:48.279","139,041","169,6","20.827","68,7","53.046","227,1","34.406","252,9","0.427"
"13:39:08.215","9","1:46.738","141,048","167,1","21.138","69,8","52.164","233,6","33.436","252,9","0.427"
"13:40:54.447","10","1:46.232","141,720","169,2","20.878","69,6","52.315","236,4","33.039","252,3","0.428"
22 - Caio CASTRO - CHA
"13:18:17.439","1","1:46.287","141,647","168,3","20.985","70,4","51.778","233,0","33.524","246,0","0.439"
"13:20:02.357","2","1:44.918","143,495","169,6","20.826","70,7","51.509","239,8","32.583","253,5","0.426"
"13:21:46.796","3","1:44.439","144,153","170,9","20.668","70,8","51.463","241,8","32.308","252,9","0.427"
"13:31:10.613","4","7:22.232","34,044","","","68,5","53.158","239,8","32.571","",""
"13:32:54.998","5","1:44.385","144,228","173,0","20.412","70,9","51.388","239,7","32.585","254,1","0.425"
"13:34:38.966","6","1:43.968","144,806","172,9","20.429","71,3","51.130","241,0","32.409","254,7","0.424"
