"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SSTRAP","SSTRAP Tm"
111 - Neto CARLONI - TROPHY
"9:09:23.741","1","1","1:44.860","147,934","0,0","41.324","0,0","32.242","0,0","31.294","",""
"9:11:07.075","2","2","1:43.334","150,119","0,0","39.451","0,0","32.411","0,0","31.472","",""
"9:12:50.299","3","3","1:43.224","150,279","0,0","39.494","0,0","32.440","0,0","31.290","",""
"9:14:33.779","4","4","1:43.480","149,907","0,0","39.562","0,0","32.509","0,0","31.409","",""
"9:16:16.868","5","5","1:43.089","150,476","0,0","39.350","0,0","32.424","0,0","31.315","",""
"9:18:00.155","6","6","1:43.287","150,187","0,0","39.540","0,0","32.351","0,0","31.396","",""
"9:19:43.900","7","7","1:43.745","149,524","0,0","39.446","0,0","32.478","0,0","31.821","",""
"9:21:26.940","8","8","1:43.040","150,547","0,0","39.431","0,0","32.276","0,0","31.333","",""
"9:23:10.379","9","9","1:43.439","149,967","0,0","39.458","0,0","32.428","0,0","31.553","",""
"9:24:53.641","10","10","1:43.262","150,224","0,0","39.519","0,0","32.308","0,0","31.435","",""
"9:26:37.868","11","11","1:44.227","148,833","0,0","40.146","0,0","32.528","0,0","31.553","",""
"9:28:21.149","12","12","1:43.281","150,196","0,0","39.490","0,0","32.366","0,0","31.425","",""
"9:30:05.899","13","13","1:44.750","148,090","0,0","39.396","0,0","32.544","0,0","32.810","",""
12 - Pedro VILLELA - TROPHY
"9:09:25.174","1","1","1:45.933","146,436","0,0","41.571","0,0","32.899","0,0","31.463","",""
"9:11:09.494","2","2","1:44.320","148,700","0,0","39.896","0,0","32.753","0,0","31.671","",""
"9:12:53.368","3","3","1:43.874","149,339","0,0","39.903","0,0","32.539","0,0","31.432","",""
"9:14:36.760","4","4","1:43.392","150,035","0,0","39.313","0,0","32.733","0,0","31.346","",""
"9:16:20.407","5","5","1:43.647","149,666","0,0","39.484","0,0","32.800","0,0","31.363","",""
"9:18:03.717","6","6","1:43.310","150,154","0,0","39.315","0,0","32.588","0,0","31.407","",""
"9:19:47.159","7","7","1:43.442","149,962","0,0","39.293","0,0","32.678","0,0","31.471","",""
"9:21:30.950","8","8","1:43.791","149,458","0,0","39.455","0,0","32.613","0,0","31.723","",""
"9:23:15.456","9","9","1:44.506","148,435","0,0","40.110","0,0","32.990","0,0","31.406","",""
"9:24:59.544","10","10","1:44.088","149,032","0,0","39.712","0,0","32.695","0,0","31.681","",""
"9:26:44.605","11","11","1:45.061","147,651","0,0","40.094","0,0","33.259","0,0","31.708","",""
"9:28:29.014","12","12","1:44.409","148,573","0,0","39.767","0,0","33.000","0,0","31.642","",""
