CATEGORIA;Evento;SUBCATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
CARRERA;CLASSIFICACAO;N/A;544 - Marçal MÜLLER - CAR;9:38:17.871;1.0;2:04.031;;34.088;50.531;99,788
CARRERA;CLASSIFICACAO;N/A;544 - Marçal MÜLLER - CAR;9:40:07.250;2.0;1:49.379;35.399;30.659;43.321;113,155
CARRERA;CLASSIFICACAO;N/A;544 - Marçal MÜLLER - CAR;9:41:44.840;3.0;1:37.590;28.668;26.696;42.226;126,824
CARRERA;CLASSIFICACAO;N/A;544 - Marçal MÜLLER - CAR;9:43:12.641;4.0;1:27.801;26.208;24.736;36.857;140,964
CARRERA;CLASSIFICACAO;N/A;544 - Marçal MÜLLER - CAR;9:44:40.414;5.0;1:27.773;26.205;24.792;36.776;141,009
CARRERA;CLASSIFICACAO;N/A;544 - Marçal MÜLLER - CAR;9:46:08.226;6.0;1:27.812;26.032;24.77;37.01;140,947
CARRERA;CLASSIFICACAO;N/A;26 - Christian HAHN - CAR;9:38:03.621;1.0;1:57.316;;31.623;47.256;105,500
CARRERA;CLASSIFICACAO;N/A;26 - Christian HAHN - CAR;9:39:49.840;2.0;1:46.219;31.521;29.609;45.089;116,522
CARRERA;CLASSIFICACAO;N/A;26 - Christian HAHN - CAR;9:41:31.507;3.0;1:41.667;30.717;27.93;43.02;121,739
CARRERA;CLASSIFICACAO;N/A;26 - Christian HAHN - CAR;9:43:08.879;4.0;1:37.372;28.395;29.189;39.788;127,108
CARRERA;CLASSIFICACAO;N/A;26 - Christian HAHN - CAR;9:44:37.006;5.0;1:28.127;26.097;24.748;37.282;140,443
CARRERA;CLASSIFICACAO;N/A;1 - Alceu FELDMANN - CAR S;9:20:57.731;1.0;1:57.667;;30.224;42.696;105,185
CARRERA;CLASSIFICACAO;N/A;1 - Alceu FELDMANN - CAR S;9:22:32.077;2.0;1:34.346;28.44;26.838;39.068;131,185
