CATEGORIA;Evento;SUBCATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;12:56:44.136;1.0;6:24.666;;45.149;;32,175
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;12:58:24.068;2.0;1:39.932;;27.719;40.855;123,852
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;12:59:59.204;3.0;1:35.136;28.473;26.718;39.945;130,096
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:01:35.611;4.0;1:36.407;28.146;26.736;41.525;128,381
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:03:10.217;5.0;1:34.606;28.060;26.683;39.863;130,825
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:11:02.072;6.0;7:51.855;31.783;27.620;;26,230
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:12:50.442;7.0;1:48.370;;29.394;42.931;114,209
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:14:43.173;8.0;1:52.731;35.210;33.633;43.888;109,791
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:16:23.222;9.0;1:40.049;29.930;28.266;41.853;123,707
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:18:02.880;10.0;1:39.658;30.047;27.713;41.898;124,193
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:19:43.077;11.0;1:40.197;29.481;28.205;42.511;123,525
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:21:21.687;12.0;1:38.610;28.828;28.274;41.508;125,513
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:29:36.411;13.0;8:14.724;;;;25,018
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:31:21.104;14.0;1:44.693;8:48.796;28.888;41.733;118,220
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:33:00.748;15.0;1:39.644;29.886;28.705;41.053;124,210
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:34:40.874;16.0;1:40.126;29.991;28.354;41.781;123,612
SPRINT TROPHY;TREINO EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:36:19.321;17.0;1:38.447;29.205;27.758;41.484;125,720
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;12:52:04.371;1.0;1:43.746;;28.816;41.431;119,299
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;12:56:47.676;2.0;4:43.305;31.515;32.196;;43,687
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;12:58:29.301;3.0;1:41.625;;28.033;40.77;121,789
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;13:00:04.081;4.0;1:34.780;28.673;26.562;39.545;130,585
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;13:04:57.090;5.0;4:53.009;28.178;26.499;;42,240
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;13:06:47.727;6.0;1:50.637;;28.721;45.934;111,869
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;13:08:32.920;7.0;1:45.193;32.531;29.370;43.292;117,658
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;13:10:13.006;8.0;1:40.086;29.912;28.058;42.116;123,662
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;13:11:52.212;9.0;1:39.206;29.292;28.165;41.749;124,759
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;13:13:33.804;10.0;1:41.592;30.012;27.973;43.607;121,828
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;13:15:12.859;11.0;1:39.055;29.907;27.509;41.639;124,949
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;13:16:51.197;12.0;1:38.338;29.408;27.736;41.194;125,860
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;13:18:29.697;13.0;1:38.500;29.012;27.712;41.776;125,653
SPRINT TROPHY;TREINO EXTRA;N/A;911 - Paulo MUZY - SPORT;13:20:08.699;14.0;1:39.002;29.285;27.821;41.896;125,016
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;12:51:52.599;1.0;1:44.380;;28.302;41.695;118,574
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;12:53:28.898;2.0;1:36.299;28.979;26.901;40.419;128,525
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;12:55:18.271;3.0;1:49.373;28.275;26.588;54.51;113,161
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;12:56:53.389;4.0;1:35.118;28.196;26.641;40.281;130,120
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:04:52.184;5.0;7:58.795;30.394;28.503;;25,850
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:06:43.469;6.0;1:51.285;;30.448;44.204;111,217
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:08:31.303;7.0;1:47.834;31.972;27.719;48.143;114,776
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:10:08.712;8.0;1:37.409;29.356;27.206;40.847;127,060
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:11:46.409;9.0;1:37.697;28.884;27.118;41.695;126,686
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:13:24.930;10.0;1:38.521;29.845;27.278;41.398;125,626
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:15:02.336;11.0;1:37.406;28.953;27.440;41.013;127,064
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:16:39.469;12.0;1:37.133;28.766;27.351;41.016;127,421
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:25:07.297;13.0;8:27.828;28.963;29.275;;24,372
SPRINT TROPHY;TREINO EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:26:58.688;14.0;1:51.391;;27.319;48.448;111,111
