CATEGORIA;Evento;SUBCATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;121 - Denis FERRER - TROPHY;12:52:48.562;1.0;1:49.261;42.371;33.863;33.027;141,976
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;121 - Denis FERRER - TROPHY;12:54:37.638;2.0;1:49.076;42.327;33.840;32.909;142,216
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;121 - Denis FERRER - TROPHY;12:56:26.411;3.0;1:48.773;42.108;33.688;32.977;142,613
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;121 - Denis FERRER - TROPHY;12:58:27.823;4.0;2:01.412;42.97;34.876;;127,767
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;121 - Denis FERRER - TROPHY;13:08:56.863;5.0;10:29.040;;41.090;37.350;24,660
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;121 - Denis FERRER - TROPHY;13:11:08.671;6.0;2:11.808;45.798;37.327;;117,689
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;121 - Denis FERRER - TROPHY;13:14:30.480;7.0;3:21.809;;35.893;34.275;76,867
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;121 - Denis FERRER - TROPHY;13:16:23.150;8.0;1:52.670;43.448;35.144;34.078;137,680
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;121 - Denis FERRER - TROPHY;13:18:15.700;9.0;1:52.550;43.995;34.812;33.743;137,827
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;121 - Denis FERRER - TROPHY;13:20:36.374;10.0;2:20.674;46.872;41.180;;110,272
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;121 - Denis FERRER - TROPHY;13:25:13.434;11.0;4:37.060;;35.675;35.496;55,989
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;121 - Denis FERRER - TROPHY;13:27:07.047;12.0;1:53.613;43.799;35.468;34.346;136,537
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:13:17.830;1.0;25:36.343;;36.368;34.557;10,097
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:15:09.869;2.0;1:52.039;45.16;34.103;32.776;138,455
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:16:58.975;3.0;1:49.106;42.68;33.693;32.733;142,177
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;13 - Letícia BUFONI - TROPHY;13:18:58.167;4.0;1:59.192;42.531;33.978;;130,146
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;3 - Gabriel GUPER - SPORT;12:48:38.461;1.0;1:49.246;42.558;33.767;32.921;141,995
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;3 - Gabriel GUPER - SPORT;12:50:38.568;2.0;2:00.107;42.553;33.941;;129,155
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;3 - Gabriel GUPER - SPORT;12:59:30.080;3.0;8:51.512;;35.790;34.393;29,185
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;3 - Gabriel GUPER - SPORT;13:01:26.348;4.0;1:56.268;46.115;36.213;33.940;133,419
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;3 - Gabriel GUPER - SPORT;13:03:25.087;5.0;1:58.739;44.87;38.350;35.519;130,643
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;3 - Gabriel GUPER - SPORT;13:05:22.396;6.0;1:57.309;46.078;37.158;34.073;132,235
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;3 - Gabriel GUPER - SPORT;13:07:18.090;7.0;1:55.694;44.94;36.681;34.073;134,081
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;3 - Gabriel GUPER - SPORT;13:09:24.250;8.0;2:06.160;45.173;36.522;;122,958
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;12:46:09.225;1.0;1:50.434;42.871;34.652;32.911;140,468
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;12:48:10.854;2.0;2:01.629;42.954;35.530;;127,539
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;12:55:01.853;3.0;6:50.999;;41.415;37.425;37,743
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;12:57:01.947;4.0;2:00.094;46.965;37.720;35.409;129,169
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;12:58:59.256;5.0;1:57.309;45.253;37.664;34.392;132,235
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:01:04.004;6.0;2:04.748;45.744;41.386;37.618;124,350
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:03:13.267;7.0;2:09.263;50.366;43.107;35.790;120,006
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:05:13.396;8.0;2:00.129;47.372;37.886;34.871;129,131
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:07:12.897;9.0;1:59.501;45.456;38.355;35.690;129,810
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:09:10.055;10.0;1:57.158;45.422;37.245;34.491;132,406
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:11:06.820;11.0;1:56.765;45.79;36.677;34.298;132,851
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:13:02.089;12.0;1:55.269;44.696;36.474;34.099;134,576
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:15:15.349;13.0;2:13.260;45.41;37.320;;116,407
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:20:13.554;14.0;4:58.205;;38.830;35.799;52,019
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:22:11.909;15.0;1:58.355;46.543;37.082;34.730;131,067
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:24:08.081;16.0;1:56.172;45.362;36.520;34.290;133,530
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;13:26:03.509;17.0;1:55.428;44.898;36.711;33.819;134,390
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;45 - Luis E. LOPES - SPORT;12:49:50.407;1.0;1:50.517;43.038;34.515;32.964;140,362
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;45 - Luis E. LOPES - SPORT;12:51:51.694;2.0;2:01.287;42.449;34.554;;127,898
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;45 - Luis E. LOPES - SPORT;13:00:09.469;3.0;8:17.775;;41.483;35.056;31,163
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;45 - Luis E. LOPES - SPORT;13:02:58.328;4.0;2:48.859;45.202;38.484;;91,866
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;45 - Luis E. LOPES - SPORT;13:13:24.727;5.0;10:26.399;;38.686;35.182;24,764
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;45 - Luis E. LOPES - SPORT;13:15:23.935;6.0;1:59.208;46.271;37.423;35.514;130,129
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;45 - Luis E. LOPES - SPORT;13:17:21.915;7.0;1:57.980;46.027;37.451;34.502;131,483
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;45 - Luis E. LOPES - SPORT;13:19:18.785;8.0;1:56.870;44.324;37.465;35.081;132,732
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;45 - Luis E. LOPES - SPORT;13:21:15.100;9.0;1:56.315;44.977;37.175;34.163;133,365
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;45 - Luis E. LOPES - SPORT;13:23:15.199;10.0;2:00.099;47.189;38.253;34.657;129,163
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;45 - Luis E. LOPES - SPORT;13:25:15.789;11.0;2:00.590;44.833;37.150;38.607;128,638
