CATEGORIA;Evento;SUBCATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;16:07:22.056;1.0;2:22.003;41.152;39.624;;117,961
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;16:15:40.900;2.0;8:18.844;;42.251;46.611;33,579
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;16:23:49.031;3.0;5:27.910;;39.069;45.299;51,084
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;16:25:50.672;4.0;2:01.641;40.163;37.893;43.585;137,707
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;16:27:52.610;5.0;2:01.938;38.015;38.463;45.46;137,371
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;16:35:18.861;6.0;4:51.260;6:02.092;39.648;44.511;57,512
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;16:37:44.468;7.0;2:25.607;39.314;40.624;;115,041
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;16:44:03.076;8.0;6:18.608;;36.672;41.161;44,243
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;16:45:53.296;9.0;1:50.220;34.624;34.909;40.687;151,976
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;23 - Leonardo Herrmann - CHA;16:06:10.208;1.0;1:55.598;37.169;36.423;42.006;144,906
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;23 - Leonardo Herrmann - CHA;16:08:04.156;2.0;1:53.948;36.054;36.255;41.639;147,004
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;23 - Leonardo Herrmann - CHA;16:09:58.324;3.0;1:54.168;35.257;35.740;43.171;146,721
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;23 - Leonardo Herrmann - CHA;16:11:50.927;4.0;1:52.603;35.308;35.882;41.413;148,760
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;23 - Leonardo Herrmann - CHA;16:13:45.696;5.0;1:54.769;35.346;37.654;41.769;145,952
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;23 - Leonardo Herrmann - CHA;16:15:52.075;6.0;2:06.379;35.069;36.538;;132,544
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;23 - Leonardo Herrmann - CHA;16:23:32.673;7.0;7:40.598;;38.117;42.046;36,368
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;23 - Leonardo Herrmann - CHA;16:25:25.390;8.0;1:52.717;35.220;35.936;41.561;148,609
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;23 - Leonardo Herrmann - CHA;16:27:29.773;9.0;2:04.383;34.991;36.820;;134,671
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;23 - Leonardo Herrmann - CHA;16:38:24.983;10.0;10:55.210;;44.171;;25,566
