CATEGORIA;Evento;SUBCATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:08:39.912;1.0;1:53.267;39.203;34.558;39.506;147,888
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:10:28.181;2.0;1:48.269;33.901;34.461;39.907;154,715
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:12:16.500;3.0;1:48.319;34.077;34.433;39.809;154,643
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:14:04.964;4.0;1:48.464;34.119;34.445;39.900;154,436
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:16:08.270;5.0;2:03.306;34.034;39.393;49.879;135,847
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:18:54.957;6.0;2:46.687;51.177;55.589;59.921;100,493
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:21:31.339;7.0;2:36.382;48.696;48.081;59.605;107,115
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:23:20.183;8.0;1:48.844;34.267;34.680;39.897;153,897
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:25:09.250;9.0;1:49.067;33.940;35.373;39.754;153,583
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:26:57.575;10.0;1:48.325;33.945;34.706;39.674;154,635
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:28:45.838;11.0;1:48.263;34.083;34.551;39.629;154,723
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:30:34.424;12.0;1:48.586;33.937;34.646;40.003;154,263
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:32:22.760;13.0;1:48.336;33.919;34.453;39.964;154,619
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:34:11.607;14.0;1:48.847;34.042;34.691;40.114;153,893
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:36:00.307;15.0;1:48.700;34.104;34.822;39.774;154,101
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:37:48.590;16.0;1:48.283;34.044;34.616;39.623;154,695
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:39:44.014;17.0;1:55.424;34.060;34.547;;145,124
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:47:33.593;18.0;7:49.579;;34.834;39.712;35,672
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:49:21.650;19.0;1:48.057;34.039;34.303;39.715;155,018
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:51:09.611;20.0;1:47.961;34.040;34.361;39.560;155,156
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:52:57.341;21.0;1:47.730;33.910;34.339;39.481;155,489
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:54:45.495;22.0;1:48.154;33.908;34.559;39.687;154,879
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:56:34.461;23.0;1:48.966;33.961;35.378;39.627;153,725
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;13:58:22.605;24.0;1:48.144;33.925;34.642;39.577;154,893
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;14:00:10.492;25.0;1:47.887;33.996;34.410;39.481;155,262
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;14:01:58.864;26.0;1:48.372;33.968;34.654;39.750;154,568
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;14:03:46.781;27.0;1:47.917;33.962;34.515;39.440;155,219
TODOS;CORRIDA;N/A;544 - M.Müller / F.Fraga - CAR;14:05:34.684;28.0;1:47.903;33.831;34.479;39.593;155,239
