CATEGORIA;Evento;SUBCATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:09:56.949;1.0;1:47.717;20.972;53.202;33.543;139,766
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:18:33.590;2.0;6:25.214;;52.017;33.337;39,083
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:20:16.994;3.0;1:43.404;20.527;50.499;32.378;145,596
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:21:59.771;4.0;1:42.777;20.222;50.344;32.211;146,484
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:32:46.117;5.0;8:49.154;;54.461;34.542;28,451
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:34:33.020;6.0;1:46.903;21.113;52.621;33.169;140,830
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:36:19.189;7.0;1:46.169;20.816;51.790;33.563;141,804
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:38:04.550;8.0;1:45.361;20.608;51.182;33.571;142,892
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:39:49.773;9.0;1:45.223;20.641;51.715;32.867;143,079
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:53:19.161;10.0;11:29.132;;54.769;;21,847
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;14:01:33.733;11.0;8:14.572;;55.800;34.962;30,441
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;14:03:26.276;12.0;1:52.543;21.298;52.997;38.248;133,773
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;14:05:12.856;13.0;1:46.580;20.717;52.265;33.598;141,257
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;177 - Lucas Locatelli - CHA S;13:17:43.283;1.0;7:08.828;;52.776;34.573;35,108
