Local;Evento;CATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:09:56.949;1.0;1:47.716;0:20.972;0:53.201;0:33.542;139.766
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:18:33.590;2.0;6:25.213;---;0:52.017;0:33.337;39.083
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:20:16.994;3.0;1:43.403;0:20.527;0:50.499;0:32.378;145.596
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:21:59.771;4.0;1:42.777;0:20.222;0:50.344;0:32.210;146.484
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:32:46.117;5.0;8:49.153;---;0:54.460;0:34.542;28.451
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:34:33.020;6.0;1:46.903;0:21.112;0:52.621;0:33.168;140.83
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:36:19.189;7.0;1:46.168;0:20.815;0:51.789;0:33.563;141.804
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:38:04.550;8.0;1:45.361;0:20.608;0:51.182;0:33.570;142.892
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:39:49.773;9.0;1:45.222;0:20.640;0:51.715;0:32.866;143.079
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;13:53:19.161;10.0;11:29.131;---;0:54.768;---;21.847
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;14:01:33.733;11.0;8:14.572;---;0:55.799;0:34.962;30.441
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;32 - Matheus Roque - CHA S;14:03:26.276;12.0;1:52.543;0:21.297;0:52.996;0:38.247;133.773
