CATEGORIA;Evento;SUBCATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;88 - P.Boesel / E.Fittipaldi - CAR;10:05:29.341;1.0;2:01.474;23.393;1:01.535;36.546;123,938
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;88 - P.Boesel / E.Fittipaldi - CAR;10:07:20.806;2.0;1:51.465;21.570;53.404;36.491;135,067
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;88 - P.Boesel / E.Fittipaldi - CAR;10:10:09.182;3.0;2:48.376;29.149;1:32.017;47.21;89,414
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;88 - P.Boesel / E.Fittipaldi - CAR;10:11:59.001;4.0;1:49.819;21.591;52.416;35.812;137,091
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;83 - Mar.Billi / G.di Mauro - CAR S;10:06:03.533;1.0;2:41.544;33.360;1:22.997;45.187;93,196
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;83 - Mar.Billi / G.di Mauro - CAR S;10:07:54.072;2.0;1:50.539;21.234;53.118;36.187;136,198
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;83 - Mar.Billi / G.di Mauro - CAR S;10:10:07.531;3.0;2:13.459;21.820;53.475;;112,808
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;95 - A.Feldmann Neto / G.Casagrande - CAR S;10:03:45.976;1.0;5:13.949;6:17.038;1:02.127;47.668;47,954
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;95 - A.Feldmann Neto / G.Casagrande - CAR S;10:05:38.551;2.0;1:52.575;22.297;54.169;36.109;133,735
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;95 - A.Feldmann Neto / G.Casagrande - CAR S;10:07:38.195;3.0;1:59.644;21.705;55.589;42.35;125,833
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;95 - A.Feldmann Neto / G.Casagrande - CAR S;10:09:29.689;4.0;1:51.494;21.527;53.201;36.766;135,031
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;95 - A.Feldmann Neto / G.Casagrande - CAR S;10:11:20.253;5.0;1:50.564;21.447;52.803;36.314;136,167
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;80 - R.Ziemkiewicz / N.Piquet Jr - CAR S;9:55:14.032;1.0;1:53.284;22.585;54.398;36.301;132,898
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;80 - R.Ziemkiewicz / N.Piquet Jr - CAR S;10:03:40.201;2.0;5:18.559;;1:05.080;43.853;47,260
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;80 - R.Ziemkiewicz / N.Piquet Jr - CAR S;10:05:32.236;3.0;1:52.035;21.694;53.763;36.578;134,379
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;80 - R.Ziemkiewicz / N.Piquet Jr - CAR S;10:08:04.050;4.0;2:31.814;21.405;1:26.111;44.298;99,169
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;80 - R.Ziemkiewicz / N.Piquet Jr - CAR S;10:09:55.173;5.0;1:51.123;21.279;53.605;36.239;135,482
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;80 - R.Ziemkiewicz / N.Piquet Jr - CAR S;10:12:19.972;6.0;2:24.799;25.091;1:07.557;;103,973
TODOS;Q1A - CLASSIFICAÇÃO - S1- CARRERA;N/A;14 - C.Campos / T.Vivacqua - CAR S;10:03:46.922;1.0;5:11.494;6:15.287;1:02.375;46.739;48,332
