CATEGORIA;Evento;SUBCATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:20:48.986;1.0;1:45.206;;27.939;43.411;117,643
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:22:28.882;2.0;1:39.896;29.131;27.817;42.948;123,897
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:24:03.652;3.0;1:34.770;28.227;26.447;40.096;130,598
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:25:37.414;4.0;1:33.762;27.925;26.273;39.564;132,002
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:33:06.123;5.0;7:28.709;27.985;26.313;;27,583
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:34:51.401;6.0;1:45.278;;27.611;42.032;117,563
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:36:32.454;7.0;1:41.053;30.418;28.016;42.619;122,478
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:38:12.669;8.0;1:40.215;29.590;28.309;42.316;123,502
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:39:52.236;9.0;1:39.567;29.384;28.36;41.823;124,306
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:41:31.904;10.0;1:39.668;29.785;28.007;41.876;124,180
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:46:53.408;11.0;5:21.504;29.883;28.977;;38,497
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:48:38.414;12.0;1:45.006;;28.188;42.658;117,868
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:50:18.162;13.0;1:39.748;29.699;28.256;41.793;124,081
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:51:56.837;14.0;1:38.675;29.417;27.669;41.589;125,430
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:53:36.289;15.0;1:39.452;29.727;27.619;42.106;124,450
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;911 - Paulo MUZY - SPORT;9:55:15.548;16.0;1:39.259;29.169;27.848;42.242;124,692
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:04:47.236;1.0;1:47.952;;28.998;41.883;114,651
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:06:23.692;2.0;1:36.456;28.988;27.208;40.260;128,316
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:18:43.873;3.0;12:20.181;29.014;;;16,721
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:21:02.788;4.0;2:18.915;;27.45;;89,096
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:22:43.222;5.0;1:40.434;;27.059;42.757;123,233
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:24:22.283;6.0;1:39.061;29.411;26.598;43.052;124,941
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:25:56.103;7.0;1:33.820;27.850;26.366;39.604;131,921
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:32:42.205;8.0;6:46.102;27.893;26.472;;30,477
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:34:26.025;9.0;1:43.820;;28.836;41.834;119,214
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:36:05.616;10.0;1:39.591;29.323;27.993;42.275;124,276
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:37:43.981;11.0;1:38.365;29.149;27.309;41.907;125,825
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:39:21.795;12.0;1:37.814;28.838;27.705;41.271;126,534
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:40:59.275;13.0;1:37.480;28.862;27.245;41.373;126,968
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:42:36.428;14.0;1:37.153;28.697;27.42;41.036;127,395
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:44:14.155;15.0;1:37.727;29.028;27.762;40.937;126,647
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:50:27.608;16.0;6:13.453;28.790;27.087;;33,142
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:52:10.215;17.0;1:42.607;;27.615;41.456;120,623
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:53:48.122;18.0;1:37.907;29.101;27.516;41.290;126,414
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;10 - Nicholas GARFINKEL - TROPHY;9:55:25.472;19.0;1:37.350;28.954;27.48;40.916;127,137
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:02:10.185;1.0;1:51.509;;32.359;44.305;110,994
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:03:46.857;2.0;1:36.672;29.147;27.307;40.218;128,029
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:05:21.588;3.0;1:34.731;28.379;26.691;39.661;130,652
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:21:50.685;4.0;16:29.097;27.823;26.52;;12,513
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:24:09.349;5.0;2:18.664;;28.929;1:15.129;89,257
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:25:51.746;6.0;1:42.397;31.161;28.495;42.741;120,871
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:27:31.658;7.0;1:39.912;29.732;28.163;42.017;123,877
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:29:11.665;8.0;1:40.007;29.834;28.39;41.783;123,759
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:30:52.866;9.0;1:41.201;31.876;27.957;41.368;122,299
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:32:31.073;10.0;1:38.207;29.546;27.741;40.920;126,028
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:34:08.917;11.0;1:37.844;29.228;27.509;41.107;126,495
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:35:47.308;12.0;1:38.391;29.706;27.855;40.830;125,792
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:37:32.990;13.0;1:45.682;28.780;27.211;49.691;117,114
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:39:12.645;14.0;1:39.655;29.237;27.457;42.961;124,196
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:40:50.065;15.0;1:37.420;28.668;27.467;41.285;127,046
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:42:42.040;16.0;1:51.975;29.092;41.826;41.057;110,532
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:44:38.852;17.0;1:56.812;45.016;28.786;43.010;105,955
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:49:46.528;18.0;5:07.676;29.412;28.05;;40,227
SPRINT TROPHY;TREINO OFICIAL OPCIONAL EXTRA;N/A;5 - Guilherme FIGUEIREDO - SPORT;9:51:29.759;19.0;1:43.231;;28.192;41.953;119,894
