Piloto;CATEGORIA
111 - Neto CARLONI - TROPHY;TROPHY
12 - Pedro VILLELA - TROPHY;TROPHY
121 - Denis FERRER - TROPHY;TROPHY
10 - Nicholas GARFINKEL - TROPHY;TROPHY
3 - Gabriel GUPER - SPORT;SPORT
777 - Lucas LUCCO - SPORT;SPORT
1 - Gustavo COSTA - SPORT;SPORT
5 - Guilherme FIGUEIREDO - SPORT;SPORT
22 - Eldo UMBELINO - SPORT;SPORT
7 - Adriano VALVERDE - SPORT;SPORT
11 - Paulo REALES - SPORT;SPORT
51 - Rodrigo ARRUY - SPORT;SPORT
45 - Luis E. LOPES - SPORT;SPORT
13 - LetÃƒÂ­cia BUFONI - TROPHY;TROPHY
84 - FabrÃƒÂ­cio SIMÃƒÂ•ES - SPORT;SPORT
911 - Paulo MUZY - SPORT;SPORT
331 - Neto HEIL - TROPHY;TROPHY
72 - Sergio LAURENTYS - TROPHY;TROPHY
32 - Matheus Roque - CHA S;CHALLENGE SPORT
177 - Lucas Locatelli - CHA S;CHALLENGE SPORT
58 - Cláudio Simão - CHA R;CHALLENGE ROOKIE
22 - Caio CASTRO - CHA;CHALLENGE
66 - Sadak Leite - CHA;CHALLENGE
45 - Jose Moura Neto - CHA S;CHALLENGE SPORT
21 - Daniel Neumann - CHA R;CHALLENGE ROOKIE
54 - Caio Chaves - CHA;CHALLENGE
82 - Gerson CAMPOS - CHA;CHALLENGE
77 - Mario Delara - CHA S;CHALLENGE SPORT
5 - George Crispim - CHA S;CHALLENGE SPORT
33 - William Araujo - CHA R;CHALLENGE ROOKIE
7 - Luiz SOUZA - CHA S;CHALLENGE SPORT
23 - Leonardo Herrmann - CHA;CHALLENGE
98 - Cecília Rabelo - CHA S;CHALLENGE SPORT
99 - Claudio Reina - CHA R;CHALLENGE ROOKIE
2 - Rafa Brocchi - CHA R;CHALLENGE ROOKIE
14 - André GAIDZINSKI - CHA S;CHALLENGE SPORT
46 - Fabián TARABORELLI - CHA S;CHALLENGE SPORT
100 - Raphael BERNARDES - CHA R;CHALLENGE ROOKIE
129 - Fernando Arruda - CHA R;CHALLENGE ROOKIE
18 - Ricardo Zylberman - CHA R;CHALLENGE ROOKIE
