Piloto;SUBCATEGORIA;;;;;
111 - Neto CARLONI - TROPHY;TROPHY;;;;;
12 - Pedro VILLELA - SPORT;TROPHY SPORT;;;;;
12 - Pedro VILLELA - TROPHY;TROPHY;;;;;
121 - Denis FERRER - TROPHY;TROPHY;;;;;
10 - Nicholas GARFINKEL - SPORT;TROPHY SPORT;;;;;
10 - Nicholas GARFINKEL - TROPHY;TROPHY;;;;;
3 - Gabriel GUPER - SPORT;TROPHY SPORT;;;;;
777 - Lucas LUCCO - TROPHY;TROPHY;;;;;
777 - Lucas LUCCO - SPORT;TROPHY SPORT;;;;;
1 - Gustavo COSTA - TROPHY;TROPHY;;;;;
1 - Gustavo COSTA - SPORT;TROPHY SPORT;;;;;
5 - Guilherme FIGUEIREDO - SPORT;TROPHY SPORT;;;;;
22 - Eldo UMBELINO - SPORT;TROPHY SPORT;;;;;
7 - Adriano VALVERDE - SPORT;TROPHY SPORT;;;;;
11 - Paulo REALES - SPORT;TROPHY SPORT;;;;;
51 - Rodrigo ARRUY - SPORT;TROPHY SPORT;;;;;
45 - Luis E. LOPES - SPORT;TROPHY SPORT;;;;;
13 - Leticia BUFONI - TROPHY;TROPHY;;;;;
84 - Fabricio SIMOES - TROPHY;TROPHY;;;;;
84 - Fabricio SIMOES - SPORT;TROPHY SPORT;;;;;
911 - Paulo MUZY - SPORT;TROPHY SPORT;;;;;
331 - Neto HEIL - TROPHY;TROPHY;;;;;
72 - Sergio LAURENTYS - SPORT;TROPHY SPORT;;;;;
72 - Sergio LAURENTYS - TROPHY;TROPHY;;;;;
32 - Matheus Roque - CHA S;CHALLENGE SPORT;;;;;
177 - Lucas Locatelli - CHA S;CHALLENGE SPORT;;;;;
58 - Cláudio Simão - CHA R;CHALLENGE ROOKIE;;;;;
22 - Caio CASTRO - CHA;CHALLENGE;;;;;
66 - Sadak Leite - CHA;CHALLENGE;;;;;
45 - Jose Moura Neto - CHA R;CHALLENGE ROOKIE;;;;;
45 - Jose Moura Neto - CHA S;CHALLENGE SPORT;;;;;
21 - Daniel Neumann - CHA R;CHALLENGE ROOKIE;;;;;
54 - Caio Chaves - CHA;CHALLENGE;;;;;
82 - Gerson CAMPOS - CHA;CHALLENGE;;;;;
77 - Mario Delara - CHA S;CHALLENGE SPORT;;;;;
5 - George FILHO - CHA S;CHALLENGE SPORT;;;;;
5 - George Crispim - CHA S;CHALLENGE SPORT;;;;;
33 - William Araujo - CHA R;CHALLENGE ROOKIE;;;;;
7 - Luiz SOUZA - CHA S;CHALLENGE SPORT;;;;;
23 - Leonardo Herrmann - CHA;CHALLENGE;;;;;
98 - Cecília Rabelo - CHA S;CHALLENGE SPORT;;;;;
99 - Claudio Reina - CHA R;CHALLENGE ROOKIE;;;;;
2 - Rafa Brocchi - CHA R;CHALLENGE ROOKIE;;;;;
14 - André GAIDZINSKI - CHA S;CHALLENGE SPORT;;;;;
46 - Fabián TARABORELLI - CHA S;CHALLENGE SPORT;;;;;
100 - Raphael BERNARDES - CHA R;CHALLENGE ROOKIE;;;;;
